itemID,itemType,itemMarketName,medianPrice
176118546,Agent,StatTrak™ M4A1-S | Player Two (Battle-Scarred),31.36
176118349,Agent,SSG 08 | Fever Dream (Battle-Scarred),0.44
176118275,Agent,Negev | Prototype (Field-Tested),0.09
176118388,Agent,Glock-18 | Bullet Queen (Battle-Scarred),5.4
176118321,Agent,StatTrak™ Desert Eagle | Blue Ply (Field-Tested),0.76
176118274,Agent,P2000 | Acid Etched (Well-Worn),0.41
176118271,Agent,MP5-SD | Desert Strike (Field-Tested),0.08
176118311,Agent,AUG | Tom Cat (Minimal Wear),0.14
176118284,Agent,StatTrak™ Negev | Prototype (Minimal Wear),0.32
176118345,Agent,AWP | Capillary (Well-Worn),0.49
176118327,Agent,Negev | Prototype (Factory New),0.28
176118361,Agent,SCAR-20 | Enforcer (Well-Worn),0.41
176118392,Agent,StatTrak™ P2000 | Acid Etched (Minimal Wear),2.0
176118304,Agent,CZ75-Auto | Distressed (Minimal Wear),0.13
176118301,Agent,MP5-SD | Desert Strike (Battle-Scarred),0.07
176118334,Agent,StatTrak™ CZ75-Auto | Distressed (Well-Worn),0.12
176118447,Agent,M4A1-S | Player Two (Factory New),123.81
176118440,Agent,StatTrak™ MAG-7 | Justice (Battle-Scarred),3.06
176118416,Agent,StatTrak™ Glock-18 | Bullet Queen (Field-Tested),31.48
176118335,Agent,R8 Revolver | Bone Forged (Battle-Scarred),0.07
176118429,Agent,MAG-7 | Justice (Factory New),12.41
176118413,Agent,StatTrak™ MAC-10 | Disco Tech (Field-Tested),7.31
176118371,Agent,SG 553 | Darkwing (Factory New),2.38
176118385,Agent,Sawed-Off | Apocalypto (Factory New),2.18
176118280,Agent,StatTrak™ R8 Revolver | Bone Forged (Factory New),0.8
176118326,Agent,SSG 08 | Fever Dream (Minimal Wear),1.18
176118396,Agent,StatTrak™ AUG | Tom Cat (Minimal Wear),0.43
176118356,Agent,StatTrak™ MP5-SD | Desert Strike (Minimal Wear),0.29
176118347,Agent,Sawed-Off | Apocalypto (Well-Worn),0.4
176118417,Agent,StatTrak™ AWP | Capillary (Well-Worn),2.03
176118475,Agent,M4A1-S | Player Two (Well-Worn),26.3
176118439,Agent,StatTrak™ SG 553 | Darkwing (Factory New),8.86
176118430,Agent,StatTrak™ Glock-18 | Bullet Queen (Well-Worn),19.83
176118702,Agent,StatTrak™ AK-47 | Phantom Disruptor (Well-Worn),18.84
176118376,Agent,StatTrak™ Glock-18 | Bullet Queen (Factory New),169.44
176118324,Agent,Negev | Prototype (Battle-Scarred),0.07
176118358,Agent,AK-47 | Phantom Disruptor (Field-Tested),6.34
176118272,Agent,AWP | Capillary (Minimal Wear),0.5
176118352,Agent,MAC-10 | Disco Tech (Minimal Wear),6.53
176118325,Agent,StatTrak™ Negev | Prototype (Battle-Scarred),0.13
176118421,Agent,StatTrak™ Glock-18 | Bullet Queen (Minimal Wear),70.13
176118467,Agent,StatTrak™ M4A1-S | Player Two (Minimal Wear),119.94
176118477,Agent,StatTrak™ Glock-18 | Bullet Queen (Battle-Scarred),16.63
176118575,Agent,StatTrak™ MAG-7 | Justice (Factory New),32.58
176118351,Agent,SSG 08 | Fever Dream (Well-Worn),0.92
176118363,Agent,StatTrak™ SCAR-20 | Enforcer (Battle-Scarred),0.72
176118285,Agent,CZ75-Auto | Distressed (Field-Tested),0.07
176118383,Agent,StatTrak™ R8 Revolver | Bone Forged (Minimal Wear),0.29
176118318,Agent,AWP | Capillary (Battle-Scarred),0.21
176118337,Agent,Desert Eagle | Blue Ply (Factory New),1.1
176118276,Agent,MP5-SD | Desert Strike (Minimal Wear),0.14
176118344,Agent,SG 553 | Darkwing (Battle-Scarred),0.4
176118289,Agent,Negev | Prototype (Minimal Wear),0.15
176118414,Agent,AUG | Tom Cat (Well-Worn),0.08
176118332,Agent,CZ75-Auto | Distressed (Battle-Scarred),0.07
176118405,Agent,StatTrak™ Sawed-Off | Apocalypto (Minimal Wear),2.01
176118379,Agent,SCAR-20 | Enforcer (Factory New),2.21
176118339,Agent,StatTrak™ Desert Eagle | Blue Ply (Minimal Wear),1.3
176118312,Agent,R8 Revolver | Bone Forged (Factory New),0.27
176118570,Agent,StatTrak™ M4A1-S | Player Two (Factory New),218.59
176118409,Agent,StatTrak™ SSG 08 | Fever Dream (Well-Worn),3.66
176119170,Agent,StatTrak™ M4A1-S | Player Two (Well-Worn),47.5
176099222,Agent,★ Paracord Knife | Blue Steel (Factory New),242.13
176114494,Agent,★ StatTrak™ Skeleton Knife | Stained (Factory New),1039.38
49691402,Agent,★ StatTrak™ Falchion Knife | Scorched (Minimal Wear),115.01
176185914,Agent,Glock-18 | Vogue (Field-Tested),4.36
176185883,Agent,M4A4 | Tooth Fairy (Field-Tested),4.24
176185878,Agent,SG 553 | Ol' Rusty (Field-Tested),0.07
176185898,Agent,MP5-SD | Kitbash (Field-Tested),0.49
176185978,Agent,Desert Eagle | Printstream (Field-Tested),55.83
176185946,Agent,XM1014 | Entombed (Factory New),11.91
176185944,Agent,Galil AR | Connexion (Minimal Wear),1.04
176185876,Agent,Galil AR | Connexion (Field-Tested),0.5
176185947,Agent,MAC-10 | Allure (Field-Tested),0.58
176185917,Agent,Negev | Ultralight (Field-Tested),0.07
176185923,Agent,P250 | Cassette (Factory New),0.27
176185896,Agent,MAG-7 | Monster Call (Field-Tested),0.51
176185904,Agent,Tec-9 | Brother (Field-Tested),0.51
176185891,Agent,P250 | Cassette (Field-Tested),0.07
176185936,Agent,MP5-SD | Kitbash (Minimal Wear),1.03
176185939,Agent,M4A4 | Tooth Fairy (Minimal Wear),7.14
176185882,Agent,P90 | Freight (Minimal Wear),0.13
176185925,Agent,P2000 | Gnarled (Minimal Wear),0.12
176185885,Agent,SSG 08 | Mainframe 001 (Minimal Wear),0.13
